question_number,faculty_id,question_text,image_link_if_any_in_question,difficulty_tag,question_type,option_1,option_2,option_3,option_4,correct_answer
,,,,,,,,,,
1,21028, what is the purpose of hash function in a hash table?,NA,Medium,Single correct,to generate random numbers,to map data to an index in the array,to sort a element in the table,to count the number of elements in the table,2
2,21028,what is the collision resolution technique that involves chaning?,NA,Medium,Single correct,open addressing, linear probing,separtae chaning,quadratic probing,3
3,21028,"in a hash table, what is the load factor?",NA,Medium,Single correct,the size of the array, the number of collision,the ratio of the number of stored elements to the size of array,he average search time,3
4,21028,which of the following is a disadvantage of using a hash table with open addressing?,NA,Medium,Single correct,Efficient use of memory  ,High probability of collisions  , Low load factor ,Requirement for a large array size,2
5,21028,What is the purpose of a hash table’s resize operation?  ,NA,Medium,Single correct,To rearrange the elements in the table  ,To remove collisions  ,To increase or decrease the size of the array  ,To sort the elements in the table  ,3
6,21028,Which collision resolution technique rehashes the key until an empty slot is found? ,NA,Medium,Single correct,Linear probing,Quadratic probing,Double hashing,Separate chaining,3
7,21028,"In open addressing, w’hat does “probing refer to ?",NA,Medium,Single correct,Generating hash codes,Searching for elements in the array,Resolvingcollisions by findingan alternative slot,Hashing the keys multiple times,3
8,21028,What is the worst-case time complexity for a successful search in a well-designed hash table?,NA,Medium,Single correct,O(1),O(log n ,O(n), 0( n^2),1
9,21028,Which of the following operations is not typically supported by hash tables?,NA,Medium,Single correct,insertion,deletion,random access of elements,sorting,4
10,21028,"What is the purpose of a hash table’s “collision resolution"" strategy?",NA,Medium,Single correct,prevent collision,detect collisions,handle collisions when multiple keys hash to same index,minimise load factor,3
11,21028,"In separate chaining, how is a collision resolved?",NA,Medium,Single correct,probing,secondary hash function,maintaining a linked list at index,rehashing the key,3
12,21028,Which hash table operation involves the calculation of a hash code?,NA,Medium,Single correct,insertion,deletion,search,resize,1
13,21028,"What is the purpose of a hash table’s “load factor ""?",NA,Medium,Single correct,To determine the number of elements in the table,To balance the tree structure,To adjust the size of the array,To manage collisions  ,1
14,21028,Which of the following is a potential issue with using a hash table with open addressing?,NA,Medium,Single correct,Memory wastage,Difficulty in calculating hash codes,Limited collision resolution options,High probability of clustering  ,4
15,21028,"in separate chaning, what is the significance of the linked list length at each index?",NA,Medium,Single correct,it represents the load factor., it indicates the number of collisions.,it determines the size of the array, it influences the hash function.,2
16,21028,What is the purpose of a load factor in a hash table?,NA,Medium,Single correct,To determine the array size,To balance the tree structure,To manage collisions,To adjust the size of the array  ,3
17,21028,What is the purpose of resizing a hash table?,NA,Medium,Single correct,To sort the elements, To encrypt data,To manage collisions,To adjust the array size based on the load factor,4
18,21028,"In hash tables, what is the term used to represent the process of converting a key into a hash value?",NA,Medium,Single correct,Compression ,Hashing ,indexing,probing,2
19,21028,What is the worst-case time complexity for a search operation in a well-designed hash table?,NA,Medium,Single correct,o(1),o(n),o(logn),o(n^2),1
20,21028," What is the purpose of a hash table's load factor""?",NA,Medium,Single correct,To determine the array size,To balance the tree structure,to adjust the size of the array,To determine the number of elements in the table,4
21,21028," In separate chaining, what is the role of the linked list at each index in the hash table?",NA,Medium,Single correct,To encrypt data,To manage collisions,To adjust the array size,togenerate hash codes,2
22,21028,"In hash tables, what is the significance of the term ""bucket""?",NA,Medium,Single correct,The size of the array,The hashed value of a key,slot where data is stored,The load factor of the hash table,3
23,21028,What is the primary purpose of hashing in computer science?,NA,Medium,Single correct,Sorting elements,Eficiently searching for elements,Encrypting data,Generating random numbers,2
24,21028,"In the context of hashing, what is a hash function?",NA,Medium,Single correct,A function for sorting elements,A function for generating random numbers,A function for encrypting data,A function for mapping data to fixed-size values,4
25,21028,What is a collision in hashing?,NA,Medium,Single correct,The result ofa faulty hash function,The mapping of multiple keys to the same hash value,The process of resizing the hash table,The encryption of hashed values,2
26,21028," In the context ofhash tables, what is the purpose of an array index generated by a hash function?",NA,Medium,Single correct,To encrypt data,To randomly access elements,To store the data,To sort the data  ,3
27,21028,Which of the following is a desirable property of a good hash function?,NA,Medium,Single correct,Collisions are unavoidable,Deterministic mapping,Frequent generation of random values,No dependence on the input data,2
28,21028,Which collision resolution technique involves searching for the next available slot in case of a collision?,NA,Medium,Single correct, Separate chaining,Linear probing,Quadratic probing, Double hashing,2
29,21028,Which collision resolution technique involves using a secondary hash function?,NA,Medium,Single correct,Linear probing,Quadratic probing, Double hashing, Separate chaining,3
30,21028,What is the primary advantage of using a hash table for search operations?,NA,Medium,Single correct,Ease of implementation ,Fast and constant-time search ,Guaranteed absence of collisions , Ability to sort elements ,2
31,21028,What is the worst-case time complexity of linear search for finding an element in an unsorted array of n elements?,NA,Medium,Single correct,O(1),O(N),O(LOGN),O(N),2
32,21028,In which scenario is linear search preferred over binary search?,NA,Medium,Single correct,When the array is sorted , When the array is unsorted ,When the array is large ,When the array has repeated elements,2
33,21028,What is the primary advantage of binary search over linear search?,NA,Medium,Single correct,Simplicity in implementation,Lower time complexity,Memory efficiency ,Guaranteed success in finding the target ,2
34,21028,"In binary search, what is the condition for the array to be successfully searched?",NA,Medium,Single correct,The array must be sorted in ascending order. ,The array must be sorted in descending order. ,The array must contain only unique elements. , The array must have an odd number of elements.,1
35,21028,How does binary search work in each step of the search process? ,NA,Medium,Single correct,It checks the middle element and compares it with the target. ,It checks the first element and compares it with the target. , It scans the array linearly from start to end. ,it randomly selects an element to compare with the target.,1
36,21028,"In binary search, how is the search interval updated if the middle element is smaller than the target? ",NA,Medium,Single correct,Move the left endpoint to the middle element. ,Move the right endpoint to the middle element.,Move both endpoints to the middle element. ,Terminate the search. ,2
37,21028,What is the primary disadvantage of linear search compared to binary search? ,NA,Medium,Single correct,Higher time complexity ,Limited applicability to sorted arrays ,Lack of guarantee for finding the target , Inability to search large arrays ,1
38,21028,Which search algorithm can be applied to both sorted and unsorted arrays with equal efficiency? ,NA,Medium,Single correct,Linear search ,Binary search,a and b,neither a not b,1
39,21028," In binary search, how is the search interval updated if the middle element is larger than the target? ",NA,Medium,Single correct,Move the left endpoint to the middle element.,Move the right endpoint to the middle element. ,Move both endpoints to the middle element. ,Terminate the search. ,1
40,21028,What is the best-case time complexity of linear search when the target element is found on the first comparison? ,NA,Medium,Single correct,O(1),O(N),O(LOGN),o(n^2),1
41,21028,Which of the following statements is true regarding the success of binary search? ,NA,Medium,Single correct,Binary search is guaranteed to find the target. ,Binary search may fail to find the target. ,Binary search is suitable for unsorted arrays. ,Binary search is slower than linear search.,1
42,21028,"In linear search, how does the search process ",NA,Medium,Single correct,From the end to the beginning,Randomly,Sequentially from start to end,Based on the values of the elements,3
43,21028,What is the worst-case time complexity of binary search for finding an element in a sorted array of n elements? ,NA,Medium,Single correct,O(1),O(N),O(LOGN),O(N),3
44,21028,Which search algorithm can be used for both numerical and non-numerical data? ,NA,Medium,Single correct,Linear search ,Binary search,exponential search,interpolation search,1
45,21028," In binary search, when does the algorithm terminate unsuccessfully?",NA,Medium,Single correct,When the target is found.,When the search interval becomes empty.,When the midpoint is reached,When the array is not sorted.,2
