question_number,faculty_id,question_text,image_link_if_any_in_question,difficulty_tag,question_type,option_1,option_2,option_3,option_4,correct_answer
,,,,,,,,,,
1,21038,Which data type should be used in a data warehouse to store dates?,NA,Easy,Single correct,VARCHAR (10),CHAR(8),DATE,INT,3
2,21038,What is the advantage of using a DECIMAL data type for storing currency values in a data warehouse?,NA,Easy,Single correct,Higher precision than FLOAT,Represents values in cents, Can store negative balances,Easier to convert to INT,1
3,21038,"How is a “dimension"" different from a “fact"" table in a data warehouse?",NA,Easy,Single correct,"Dimensions store detailed attributes, facts store aggregated data.","Dimensions contain historical data, facts contain current data.","Dimensions are always smaller than fact tables, facts are always larger.","Dimensions are updated more frequently, facts are updated less frequently.",1
4,21038,What is the purpose of using surrogate keys in a data warehouse?,NA,Easy,Single correct,To enforce data integrity,To improve query performance,To reduce storage space,To simplify data extraction,2
5,21038, How does a CHAR data type differ from a VARCHAR data type in a data warehouse?,NA,Easy,Single correct,"CHAR always uses fixed padding, VARCHAR uses dynamic padding","CHAR can store longer values, VARCHAR can store shorter values.","CHAR is always faster to access, VARCHAR is always slower to access","CHAR is preferred for descriptive attributes, VARCHAR is preferred for numeric values",1
6,21038,Which data type is most suitable for storing customer names in a data warehouse?,NA,Easy,Single correct,VARCHAR (50),NVARCHAR (100),CHAR(255),TEXT,1
7,21038,What is the potential drawback of using an ENUM data type in a data warehouse?,NA,Easy,Single correct, Requires frequent schema changes for new values.,Can be inefficient for storing large lists of possible values,Increases data redundancy across tables,Limits data analysis flexibility,1
8,21038,How can data types be used to enforce data quality rules in a data warehouse?,NA,Easy,Single correct,By setting minimum and maximum values for numeric types,By defining valid characters for string types,By specifying foreign key constraints between tables.,All of the above,4
9,21038,"What is the difference between a ""byte"" and a ""character"" in data warehousing contexts?",NA,Easy,Single correct,"Abyte stores 8 bits, a character stores 16 bit","A byte represents a single numeric value,a character represents a textual symbol"," A byte is a unit of storage, a character is a unit of data type",There is no significant difference in data warehouse applications.,3
10,21038,Which data type should be used in a data warehouse to store geographic coordinates?,NA,Easy,Single correct,VARCHAR(50) ,GEOMETRY, FLOAT,INT,2
11,21038,What is the benefit of using a user-defined data type (UDT) in a data warehouse?,NA,Easy,Single correct,Encapsulate complex data structures for improved reusability, Enhance query performance by optimizing storage for specific data,Simplify data extraction from source systems with pre-defined formats,Facilitate data encryption and security for sensitive information,1
12,21038,How can the precision and scale of a DECIMAL data type be determined in a data warehouse?,NA,Easy,Single correct,By inspecting the schema definition of the table,By analyzing the data loaded into the column, By querying database metadata tables,All of the above,4
13,21038,what considerations should be taken when choosing data types for large-volume data in a warehouse?,NA,Easy,Single correct,Balance storage efficiency with processing performance.,Prioritize data accuracy over flexibility to avoid errors,Choose fixed-length data types for faster joins and aggregation,Avoid using complex data types to simplify data extraction,1
14,21038,How can data types be used to implement data partitioning in a data warehouse?,NA,Easy,Single correct,By designating specific columns as partitioning keys,By dividing tables based on data ranges or values,By storing different data types in separate physical file,All of the above,2
15,21038,What potential issue can arise from using VARCHAR data types with varying lengths in a data warehouse?,NA,Easy,Single correct,Increased storage footprint due to padding and wasted space,Inefficient joins and aggregations due to inconsistent data sizes,Difficulty in applying data quality rules and validations,All of the above,4
16,21038,What is the role of data compression in choosing data types for a data warehouse?,NA,Easy,Single correct,Compressed data types always offer smaller storage footprints.,Choosing appropriate data types can improve compression effectiveness.,Data compression should only be used on large textual data.,Data types cannot directly influence Compression ratio,2
17,21038,How can data types be used to track changes in data values over time in a data warehouse?,NA,Easy,Single correct,By defining separate columns for current and historical values,By implementing versioning techniques with different data types,By utilizing temporal data types built for historical tracking,All of the above,3
18,21038,What is the significance of data type conversions in data warehousing ETL processes?,NA,Easy,Single correct,Ensuring data compatibility between source and target systems,Performing calculations and aggregations on consistent data formats.,Optimizing storage space by converting to smaller data types.,All of the above,4
19,21038,What is the primary goal of data transformation in a data warehouse?,NA,Easy,Single correct,Cleanse and integrate data from multiple sources,Reduce storage footprint and optimize disk space,Conform data to the target schema for efficient queries,All of the above,4
20,21038,What is the main benefit of normalizing data in a data warehouse?,NA,Easy,Single correct,Reduces data redundancy and minimizes storage requirements,Simplifies data manipulation and reduces update anomalies,Improves data retrieval speeds for complex queries,All of the above,4
21,21038,Which normal form eliminates repeating groups in data?,NA,Easy,Single correct,First Normal Form (1NF),Second Normal Form (2NF),Third Normal Form (3NF), Boyce-Codd Normal Form (BCNF),3
22,21038,What is the trade-off between a high degree of normalization and query performance in a data warehouse?,NA,Easy,Single correct,Highly normalized data reduces storage but increases join complexity and slows down queries.,Denormalized data increases storage but simplifies joins and improves query performance,Both normalization and denormalization negatively impact query performance, There is no trade-off; normalization always improves query performance,1
23,21038,What technique can be used to denormalize data in a data warehouse for performance optimization?,NA,Easy,Single correct,Data aggregation, Dimension flattening,Star schema creation,All of  the above,2
24,21038, What is the role of data cleansing in the data transformation process for a data warehouse?,NA,Easy,Single correct, Identifies and corrects inconsistencies and errors in raw data,Transforms data formats and units to a consistent standard,Integrates data from multiple sources into a single schema,All of  the above,4
25,21038,What tool can be used to automate data transformation processes in a data warehouse?,NA,Easy,Single correct,"ETL (Extract, Transform, Load tools)",Data mining algorithms,Relational databases,Data visualization software,1
26,21038,How can surrogate keys be used to handle dimension changes in a data warehouse?,NA,Easy,Single correct,Maintain separate historical records for each dimension value change,Update existing records with new values while keeping track of changes,Use slowly changing dimensions (SCDs) with different update strategies.,All of the above,3
27,21038,What is the impact of data transformation on data quality in a data warehouse?,NA,Easy,Single correct,Data transformation can introduce errors and inconsistencies during processing,Properly implemented transformations can significantly improve data quality and reliability,Both positive and negative impacts are possible depending on the specific transformations applied,All of the above,4
28,21038,"In a data warehouse, what is the primary purpose of a fact table?",NA,Easy,Single correct,Store metadata,Store dimensions,Store transactional data,Store summary data,3
29,21038, What is a surrogate key in the context of data warehousing?,NA,Easy,Single correct,Primary key of a dimension table,Temporary key for sorting data, Key used to encrypt sensitive information,Key generated by the data warehouse system,4
30,21038,What is OLAP (Online Analytical Processing) used for in a data warehouse?,NA,Easy,Single correct,Data extraction ,Data transformation,Data analysis ,Data loading,3
31,21038,What is the purpose of a star schema in a data warehouse?,NA,Easy,Single correct,Normalize data,Simplify queries,Store historical data,Support real-time processing,2
32,21038, Which of the following is a characteristic of a data warehouse?,NA,Easy,Single correct,Real-time data updates,Operational data storage,Granular data,Transaction processing,3
33,21038,What is the primary purpose of a star schema in a data warehouse?,NA,Easy,Single correct,Normalize data,Simplify queries,Store transactional data,Support real-time processing,2
34,21038," In a data warehouse, what role does a snowflake schema play?",NA,Easy,Single correct,Optimizing data loading,Normalizing data,Reducing query performance,Handling real-time data,2
35,21038,Which term refers to the process of transforming data from operational databases into the data warehouse format?,NA,Easy,Single correct,Data extraction,Data normalization,Data de-normalization,Data aggregation,1
36,21038,What is the purpose of OLAP (Online Analytical Processing) in a data warehouse?,NA,Easy,Single correct,Data extraction, Data analysis,Data transformation,Data loading,3
37,21038, Which of the following is a characteristic of a data warehouse?,NA,Easy,Single correct,Real-time data updates,Operational data storage,Granular data,Transaction processing,3
38,21038,What is a surrogate key in the context of data warehousing?,NA,Easy,Single correct,Primary key of a dimension table,Temporary key for sorting data, Key used to encrypt sensitive information,Key generated by the data warehouse system,4
39,21038," In a data warehouse, what does the term 'star join' refer to?",NA,Easy,Single correct,Joining fact tables,Joining dimension tables,Joining tables using a star schema,Joining tables using a snowflake schema,3
40,21038,What is the role of an ETL tool in data warehousing?,NA,Easy,Single correct,"Extract, Transfer, Load","Encrypt, Transform, Load","Extract, Transform, Load","Execute, Transfer, Log",3
41,21038,What is the purpose of a slowly changing dimension (SCD) in data warehousing?,NA,Easy,Single correct,To store historical data,To optimize data loading,To speed up query performance,To handle real-time data,1
42,21038,What is the main goal of data warehousing?,NA,Easy,Single correct,Real-time data processing,Transactional data storage,Analytical data processing,Reducing data redundancy,3
43,21038,What is the purpose of a data mart in a data warehousing environment?,NA,Easy,Single correct, Centralized data storage,Storing raw data,Storing summarized data, Focusing on specific business areas,4
44,21038,What does the term 'star join optimization' refer to in data warehousing?,NA,Easy,Single correct,Optimizing star schema design,Optimizing query performance in star schema joins,Normalizing data in a star schema,Optimizing loading processes   ,2
45,21038,Which process involves organizing data into a format suitable for analysis in a data warehouse?,NA,Easy,Single correct, Data loading,Data modeling,Data transformation,Data extraction,3
46,21038,What is the purpose of a data warehouse bus architecture?,NA,Easy,Single correct,Supporting real-time data processing,Simplifying data loading processes,Integrating multiple data marts,Normalizing dimension tables,3
