question_number,faculty_id,question_text,image_link_if_any_in_question,difficulty_tag,question_type,option_1,option_2,option_3,option_4,correct_answer
,,,,,,,,,,
1,21038,Which of the following sets of vectors is linearly dependent?,NA,Easy,Single correct,"\(\{(1,2),(3,4)\}\)","\(\{(1,0,0),(0,1,0),(0,0,1)\}\)","\(\{(1,2,3),(4,5,6),(7,8,9)\}\)","\(\{(1,1,0),(0,1,1),(1,0,1)\}\)",3
2,21038," If a set of vectors contains the zero vectors, then it is always:",NA,Easy,Single correct,Linearly independent, Linearly dependent,Orthogonal ,Unitary,2
3,21038,Which of the following conditions is necessary for a set of vectors to be linearly independent?,NA,Easy,Single correct,The vectors must have the same length, the vectors must be orthogaonal,The vectors must be nonzero,The vectors must be in \(\mathbb{R}^n\),3
4,21038,"If a set of vector is linearly dependent, then:",NA,Easy,Single correct, It must contain zero vectors.,It must contan more vectors than the dimension of the space, It must be orthogonal,It must be unitary,2
5,21038,Which of the following statemens is true for a set of linearly independent vectors?,NA,Easy,Single correct,The vectors must span the space,The vectors must be orthogonal,The vectors must be in \(\mathbb{R}^n\),The vectors must be unique,1
6,21038,The determinant of  a matrix is zero of and only if its columns are:,NA,Easy,Single correct,Orthogonal,Unitary,Linearly independent, Lineraly dependent,4
7,21038,How can you determine if a set of vectors is linearly dependent or independent?How can you determine if a set of vectors is linearly dependent or independent?,NA,Medium,Single correct,By checking if the determinant of the matrix formed by the  vectors is zero.,By solving a system of linear equations.,By row-reducing the matrix formed by the vectors., All of the above  ,4
8,21038,"If a set of vectors is linearly dependent, then any subset of that set 
is also:",NA,Easy,Single correct,Linearly independent,Linearly dependent,Orthogonal ,Unitary ,2
9,21038,"If a set of vectors is linearly independent, then
any superset of that set is also:",NA,Easy,Single correct,Not necessarily linearly independent , Linearly independent, Linearly dependent,Orthogonal,1
10,21038,The rank of a matrix is equal to,NA,Easy,Single correct,The number of rows in the matrix.,The number of columns in the matrix.,The maximum number of linearly independent columns in the matrix,the determinant of the matrix.  ,3
