question_number,faculty_id,question_text,image_link_if_any_in_question,difficulty_tag,question_type,option_1,option_2,option_3,option_4,correct_answer
,,,,,,,,,,
1,21028,"Consider a continuous random variable \(X\) with a uniform distribution on the interval \([0, 2]\). Which of the following statements are true?",NA,Medium,Multi correct,"The probability density function (PDF) of \(X\) is f(x) = \frac{1}{2}, \quad 0 \leq x \leq 2",The mean of \(X\) is 1.,"The variance of \(X\) is \(\frac{1}{3}\).
",\(P(X=1) = 0\).,"1,2,3,4"
2,21028,"Let \(X\) be a continuous random variable with a normal distribution, and \(Y = 2X + 3\). Which of the following statements are true?
",NA,Easy,Multi correct,Y follows a normal distribution.,The mean of Y is 3.,The variance of Y is twice the variance of X.," If X is standard normal, then Y is also standard normal.","1,2,3"
3,21028,"Let \(X\) and \(Y\) be two independent continuous random variables with probability density functions \(f_X(x)\) and \(f_Y(y)\) respectively. Which of the following statements are true?
",NA,Easy,Multi correct,"The joint probability density function \(f_{X,Y}(x,y)\) is given by \( \cdots \).","If \(X\) and \(Y\) are independent, then \(f_{X,Y}(x,y) = f_X(x) f_Y(y)\).","The covariance between \(X\) and \(Y\) is always zero.
","If \( f_X(x) = f_Y(y) \), then \( X \) and \( Y \) have the same probability distribution.","1,2,3,4"
4,21028,"In probability theory, which of the following statements are true about mutually exclusive events? ",NA,Easy,Multi correct,Mutually exclusive events have no outcomes in common.,The probability of the union of mutually exclusive events is the sum of their individual probabilities.,Mutually exclusive events always have a non - zero probability of occurring simultaneously.,The complement of a mutually exclusive event is the empty set.,"1,2"
5,21028,Consider two independent events A and B. Which of the following statements are true?,NA,Easy,Multi correct,The probability of both events A and B occurring is equal to the product of their individual probabilities.,"If event A occurs, it affects the probability of event B.", Independence implies that the occurrence of one event does not influence the occurrence of the other. ,The complement of event A is also independent of event B.,"1,3"
6,21028,Which of the following statements are correct regarding conditional probability?,NA,Easy,Multi correct,Conditional probability is the probability of an event occurring without any prior information. ,The notation \( P(A \mid B) \) represents the conditional probability of event \( A \) given that event \( B \) has occurred.,"If events \( A \) and \( B \) are independent, the conditional probability is equal to \( P(A \mid B) = P(A) \).",The conditional probability \( P(A \mid B) \) is always equal to \( P(B \mid A) \).,"2,3"
7,21028,Which of the following are valid probability distributions? ,NA,Easy,Multi correct,"\( P(X=0) = 0.2, \quad P(X = 1) = 0.5, \quad P(X = 2) = 0.4 \)
","\( P(Y > 0) = 0.8, \quad P(Y < 2) = 0.6, \quad P(Y = 3) = 0.2 \)
","\( P(Z = -1) = 0.3, \quad P(Z = 0) = 0.6, \quad P(Z = 2) = 0.2 \)","\( P(W < 1) = 0.7, \quad P(W > 2) = 0.3, \quad P(W = 1) = 0.2 \)","1,3"
8,21028,Consider two events P and Q. Which of the following statements are correct about their joint probability?,NA,Easy,Multi correct,The joint probability of P and Q is always greater than or equal  to the probability of P alone.," If events P and Q are independent, their joint probability is equal to the product of their individual probabilities. ",The joint probability of mutually exclusive events is always zero. ,The joint probability of P and Q is always less than or equal to the probability of P alone.,"2,3"
9,21028,"In a single throw of a fair six-sided die, which of the following events are mutually exclusive?",NA,Easy,Multi correct,Event A: Getting an odd number,Event B: Getting a number less than 3 ,Event C: Getting a number greater than 4,Event D: Getting a multiple of 3,"1,2"
10,21028,Consider drawing cards from a standard deck. Which of the following pairs of events are mutually exclusive? ,NA,Easy,Multi correct,Event X: Drawing a red card.       Event Y: Drawing a face card.,Event P: Drawing a spade.      Event Q: Drawing an ace., Event M: Drawing a 7.          Event N: Drawing a club , Event R: Drawing a 10.      Event S: Drawing black card,"1,2"
11,21028,Two fair coins are tossed. Which of the following events are mutually exclusive?,NA,Easy,Multi correct,Event HH: Both coins showing heads,Event HT: One coin showing heads and the other showing tails,Event TH: One coin showing tails and the other showing heads,Event TT: Both coins showing tails,"1,4"
12,21028,"Consider events \(M\) and \(N\). If \(P(M) = 0.3\) and \(P(N) = 0.4\), which of the following statements are true if \(M\) and \(N\) are mutually exclusive?
",NA,Easy,Multi correct,\(P(M \text{ and } N) = 0\),"\(P(M \text{ or } N) = 0.7\)
","\(P(M \mid N) = 0\)
",\(P(N \mid M) = 0\),"1,2"
13,21028,"In a deck of playing cards, which of the following events are mutually exclusive?",NA,Easy,Multi correct,Event E: Drawing a heart,Event F: Drawing a red card,Event G: Drawing a face card, Event H: Drawing a spade,"1,4"
14,21028,"In a standard deck of 52 playing cards, two cards are drawn without replacement. Which of the following statements about the events are true?",NA,Easy,Multi correct,Event A: Drawing a red card on the first draw,Event B: Drawing a black card on the second draw after drawing a red card on the first draw,Event C: Drawing a face card on the first draw,Event D: Drawing a spade on the second draw after drawing a heart on the first draw.,"1,2"
15,21028,Consider two fair six-sided dice. Which of the following events are independent? ,NA,Easy,Multi correct,Event X: Rolling a 4 on the first die,Event Y: Rolling an even number on the second die , Event 2: The sum of the two dice is 7,None of these,"1,2"
16,21028,"A factory produces light bulbs, and the probability of a bulb being defective is 0.05. If two bulbs are randomly selected. what is the probability that both bulbs are non-defective?",NA,Easy,Multi correct,0.0025,0.0975,0.95,0.9025,"3,4"
17,21028,"Consider two events \(A\) and \(B\). If \(P(A) = 0.6\) and \(P(B) = 0.4\), which of the following statements are true?",NA,Easy,Multi correct,Events A and B. are independent.,Events A and B are mutually exclusive,"If events A and B are independent, then P(A ∩ B)=0.24","If events A and B, are independent, then P(A U B) = 1.
","1,3"
18,21028,"In a bag, there are 4 red balls and 5 green balls. If two balls are drawn without replacement, which of the following statements are true?",NA,Easy,Multi correct,Event X: Drawing a red ball on the first draw ,Event Y: Drawing a green ball on the second draw after drawing a red ball on the first draw,Event Z: Drawing a green ball on the first draw,Event W: Drawing two red balls consecutively ,"1,2,4"
19,21028,"Consider two random variables \(X\) and \(Y\). If \(E(X \mid Y) = Y\), which of the following statements are true?",NA,Easy,Multi correct,X and Y are independent.,The conditional expectation of X given Y is a constant.,The variance of X given Y is always zero. ,\(E(X)\) equals the unconditional expectation of \(X\).,"2,4"
20,21028,"Given two independent random variables X and Y, which of the following statements about their conditional variance is true?",NA,Easy,Multi correct,The conditional variance of X given Y is always zero.,The conditional variance of X given Y is equal to the unconditional variance of X.,The conditional variance of X given Y is always less than or equal to the unconditional variance of X.,The conditional variance of X given Y is independent of the unconditional variance of X.,"2,3"
