question_number,faculty_id,question_text,image_link_if_any_in_question,difficulty_tag,question_type,option_1,option_2,option_3,option_4,correct_answer,
,,,,,,,,,,,
1,CEN-21137, Which Equation can be used to determine the “degree of freedom” of a system?,NA,Easy,Single correct,Gruebler’s equation,Fourier Transform,Simon’s equation,Maxwell’s equation,1,
2,CEN-21137,Which combination of pairs forms compound joints?,NA,Medium,Single correct,Higher pair-Higher pair combination,Higher pair-Lower pair combination,Lower pair-Lower pair combination,Universal pair-Lower pair combination,2,
3,CEN-21137, Which kinematics is used to calculate the joint parameter which will be used to place at the end of the kinematic chain?,NA,Medium,Single correct,Forward Kinematics,Reverse Kinematics,Inverse Kinematics,Backward Kinematics,3,
4,CEN-21137,Which kinematics is used to calculate the position of end-effector from some specified values?,NA,Medium,Single correct,Forward Kinematics,Reverse Kinematics,Inverse Kinematics,Backward Kinematics,1,
5,CEN-21137,What does degree of freedom in a kinematic chain denotes?,NA,Medium,Single correct,Total parameters of kinematic chain,Length of kinematic chain,Joints in kinematic chain,Type of kinematic chain,1,
6,CEN-21137,What is the joint called if only four links are joined at a point?,NA,Easy,Single correct, Binary joint,Ternary joint,Quaternary joint,Quad-joint,3,
7,CEN-21137,Who is termed as the father of kinematics?,NA,Easy,Single correct,Nick brown,Franz Reuleaux,Stefencolumbus,Billy Stern,2,
8,CEN-21137,"What is the joint called if only three links are joined at a point?
",NA,Easy,Single correct,Binary joint,Ternary joint,Quaternary,Tri-joint,2,
9,CEN-21137,"Which equation represents Grubler’s equation? (where “F” represents Degrees of freedom, n represents number of links, l represents Number of lower pairs, h represents Number of higher pairs)",NA,Medium,Single correct,\[ F = 3(n-1) - 2l - h \],\[ F = 2(n-1) - 2l - h \],\[ F = 2(n-1) - 3l - h \],\[ F = 3(n-1) - 2l - 2h \],1,
10,CEN-21137,What is the joint called if only two links are joined at a point?,NA,Easy,Single correct,Binary joint,Ternary joint,Quaternary joint,Bi-joint,1,
11,CEN-21137,The PUMA robot path update rate is,NA,Medium,Single correct,560 Hz,56 Hz,5600 Hz,56000 Hz,1,
12,CEN-21137,The collision-free path is obtained from,NA,Medium,Single correct,Cartesian space,Joint space,Trajectory space,None,1,
13,CEN-21137,In which method does trajectory planning have computational complexity?,NA,Medium,Single correct,Cartesian space,Joint space,Trajectory space,None,1,
14,CEN-21137,What are criteria for controller selection?,NA,Easy,Single correct,Stability,Performance,Both,None,1,
15,CEN-21137,The region that can be reached by the origin of the end effector frame with at least one orientation is called,NA,Medium,Single correct,Reachable workspace,Manipulator's workspace,Dexterous workspace,None,1,
16,CEN-21137,The space where the end effector can reach every point from all orientations is called,NA,Medium,Single correct,Reachable workspace,Manipulator's workspace,Dexterous workspace,None,3,
17,CEN-21137,Overall control and coordination of the robot system is called,NA,Medium,Single correct,Supervisory control,Task generator,Arm motion control,Task interpreter,1,
18,CEN-21137,"The commands of these axial motions are given by the operator; when the desired position is reached, the coordinates are stored in the computer memory. This process of programming is called",NA,Medium,Single correct,Manual teaching,Lead-through teaching,Walk-through teaching,Offline programming,1,
19,CEN-21137,"In a typical teach pendant, the control command ""transfer"" mode is used for",NA,Easy,Single correct,To manipulate the robot,To run a program,Activate the joint control,To initialize the robot to a known position,1,
20,CEN-21137,"In a typical teach pendant, the control command ""move"" mode is used for",NA,Easy,Single correct,To manipulate the robot,To run a program,Activate the joint control,To initialize the robot to a known position,3,
21,CEN-21137,"In a typical teach pendant, the control command ""home"" mode is used for",NA,Easy,Single correct,To manipulate the robot,To run a program,Activate the joint control,To initialize the robot to a known position,4,
22,CEN-21137,"For a two degree of freedom planar RR manipulator, if $L_1$ and $L_2$ are the lengths of the links 1 and 2 respectively and the angles $\theta_1$ and $\theta_2$ are the joint rotations, if $L_1 = 30$ cm, $L_2 = 20$ cm and angles $\theta_1 = 45^\circ$ and $\theta_2 = 30^\circ$. Calculate the coordinates of the endpoint of the arm.",NA,Medium,Single correct,"(36.3, 30.2)","(38.5, 31.2)","(31.2, 38.5)","(30.2, 36.3)",2,
23,CEN-21137,Consider the following statements regarding the Jacobian of the spatial robot and choose the true statements.,NA,Medium,Multi correct,Jacobian is a matrix in robotics which provides the relation between joint velocities \& end-effector velocities of a robot manipulator.,The number of columns in the Jacobian matrix is equal to the number of joints in the manipulator.,The upper part of the Jacobian matrix is Linear velocity Jacobian and the lower part is Angular velocity Jacobian.,The Jacobian matrix is always square for any robot manipulator.,"1,3",
24,CEN-21137,Explain the concept of redundancy in robotic manipulators. Discuss the advantages and challenges associated with redundant robots.,NA,Hard,Single correct,Redundancy allows robots to perform multiple tasks simultaneously; challenges include increased computational complexity.,Redundancy improves precision in trajectory tracking; challenges include limited workspace.,Redundancy increases payload capacity; challenges include decreased flexibility.,Redundancy provides fault tolerance; challenges include reduced operational speed.,1,
25,CEN-21137,"Define the term ""singularity"" in the context of robot manipulators and explain its significance in robotics.",NA,Hard,Single correct,A point in the robot's workspace where the end-effector cannot reach.,A configuration where the Jacobian matrix becomes non-invertible.,"The maximum payload capacity of a robotic arm.
",The speed at which a robot can move between waypoints.,2,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
