question_number,faculty_id,question_text,image_link_if_any_in_question,difficulty_tag,question_type,option_1,option_2,option_3,option_4,correct_answer,
,,,,,,,,,,,
1,CEN-2115,"Which of the following are types of r
egression models? 
",NA,Easy,Multi correct,Linear regression,Logistic regression,Polynomial regression,Exponential regression,"1,2,3,4",
2,CEN-2115,"In linear regression, which of the
 following matrices are used? ",NA,Medium,Multi correct,Design matrix,"Coefficient matrix
",Error matrix, Identity matrix,"1,2",
3,CEN-2115,"In the context of linear regression, what
 does the term
 ""multicollinearity"" refer to? ",NA,Medium,Multi correct,"High correlation between
 independent variables","Perfect linear relationship between predictors
",Violation of independence assumption,Inflated standard errors of regression coefficients,"1,2,4",
4,CEN-2115,"In the context of linear algebra, which 
of the following operations are commonly 
used in regression analysis?",NA,Medium,Multi correct,Matrix multiplication,Matrix inversion,Eigenvalue decomposition,Singular Value Decomposition ,"1,2,4",
5,CEN-2115,"Which of the following are true about the
 residuals in linear regression?",NA,Easy,Multi correct,"They represent the difference between
 observed and predicted values
",Their sum should be close to zero,They are used to calculate the error of the model,They should be normally distributed,"1,2,3,4",
6,CEN-2115,"Which of the following is true about the 
hat matrix \( H \) in linear regression?",NA,Hard,Single correct, \( H \) is symmetric,\( H \) is idempotent,The trace of \( H \) equals the number of predictors plus one,All of the above,4,
7,CEN-2115,"In multiple linear regression, what is the 
geometrical interpretation of the fitted
 values \( \hat{y} \)?
",NA,Medium,Single correct,The projection of \( y \) onto the column space of \( X \),"The projection of \( y \) onto the null space of \( X \)
",The orthogonal complement of the column space of \( X \),The orthogonal complement of the null space of \( X \),1,
8,CEN-2115,"What is the relationship between \( R^2 \) 
and the correlation coefficient \( r \)
 in simple linear regression?",NA,Medium,Single correct,\( R^2 = r \),\( R^2 = r^2 \),\( R^2 = \sqrt{r} \), \( R^2 = 2r \),2,
9,CEN-2115,"In a simple linear regression model
 \( y = \beta_0 + \beta_1 x + \varepsilon \),
 what does the coefficient \( \beta_1 \) 
represent?
",NA,Easy,Single correct,The \( y \)-intercept,The slope of the regression line,The error term,The coefficient of determination,2,
10,CEN-2115,"In linear regression, the method of least 
squares minimizes which of the following?
",NA,Easy,Single correct,Sum of absolute errors,Sum of squared errors, Sum of predicted values,Sum of observed values,2,
11,CEN-2115,"In ridge regression, what effect does 
increasing the regularization parameter 
\( \lambda \) have?
",NA,Medium,Single correct,Increases model complexity,"Decreases model complexity
",Has no effect on model complexity,May increase or decrease complexity depending on the data,2,
12,CEN-2115,"Consider the following equation for 
Ridge Regression:
Which of the following statements is 
correct regarding this equation?",https://drive.google.com/file/d/1bABYewKUOSs1LssLCyo-dsMvYCgfOxAk/view?usp=drive_link,Medium,Single correct,"As \( \lambda \) approaches infinity,
 \( \beta_{\text{ridge}} \) 
approaches the OLS estimator",The ridge estimator is always unbiased regardless of the value of \( \lambda \),"Increasing \( \lambda \) tends to shrink the coefficients towards zero
", Ridge regression cannot be used when multicollinearity is present in the data,3,
